Link,Title,Provider,Rating,Num_Reviewer,platform,subject,Entity,Reviewer_Status
/course/teaching-prodigy-21301,Improving Math Engagement with Prodigy,institution,0.0,10,coursera,education,project-network,ratings at Coursera
/course/education-kahoot-21228,Enhance Student Learning through Kahoot,institution,0.0,26,coursera,education,project-network,ratings at Coursera
/course/classroom-flipgrid-21229,Building Classroom Community Using Flipgrid,institution,0.0,20,coursera,education,project-network,ratings at Coursera
/course/education-seesaw-21230,Using Seesaw for Student Learning,institution,4.5,12,coursera,education,roi,ratings at Coursera
/course/preparing-for-and-passing-technical-certification-22485,Preparing for and Passing Technical Certifications,institution,0.0,32,coursera,education,project-network,ratings at Coursera
/course/teaching-with-peer-review-using-eduflow-22127,Teaching with Peer Review Using Eduflow,institution,0.0,14,coursera,education,project-network,ratings at Coursera
/course/interactive-elearning-assessment-edulastic-32748,Interactive eLearning and Assessment with Edulastic,institution,0.0,36,coursera,education,project-network,ratings at Coursera
/course/clase-interactivas-dinamicas-classroom-32733,Clase interactivas y dinámicas en Classroom,institution,0.0,45,coursera,education,project-network,ratings at Coursera
/course/understand-best-practice-canvas-32780,Understand Best Practices with Canvas,institution,0.0,,coursera,education,project-network,
/course/evaluate-employee-comprehension-canvas-34343,Evaluate Employee Comprehension with Canvas,university,5.0,,coursera,education,todai,
/course/interactive-teaching-39417,Interactive Teaching（インタラクティブ・ティーチング）,university,4.5,,coursera,education,unige,
/course/cultures-pedagogies-57786,Cultures et pédagogies,university,0.0,,coursera,education,umich,
/course/what-is-a-socially-just-university-58994,Community Awareness: What is a Socially Just University ,institution,4.0,,coursera,education,learnquest,
/course/certified-scrum-master-exam-preparation-56000,Scrum Master Certification Exam Preparation,university,0.0,,coursera,education,ub,
/course/thinkglobal-idp-ub-98188,THINK GLOBAL:  TEACHERS TRAINING COURSE (IDP-ICE),university,0.0,,coursera,education,boulder,
